Feature,Coefficient,Importance
AI Score (0-100),0.7858319293339839,0.7858319293339839
"Skills_Ethical Hacking, Linux",0.782428437862268,0.782428437862268
"Skills_Python, Deep Learning",0.7403303910141595,0.7403303910141595
"Skills_Cybersecurity, Linux, Networking",-0.7291651859784922,0.7291651859784922
"Skills_Python, SQL",0.7227647973900589,0.7227647973900589
Job Role_Software Engineer,0.7057781831641048,0.7057781831641048
"Skills_C++, React",0.6855071982512186,0.6855071982512186
"Skills_TensorFlow, Python, NLP",-0.6807089709157849,0.6807089709157849
"Skills_Cybersecurity, Ethical Hacking",0.6782600048548719,0.6782600048548719
Certifications_No Certification,-0.6691846559096656,0.6691846559096656
"Skills_Machine Learning, SQL, Python",-0.6339629444292085,0.6339629444292085
"Skills_Python, TensorFlow",0.6151722737865615,0.6151722737865615
"Skills_Java, SQL, C++, React",-0.6024485617800116,0.6024485617800116
"Skills_Pytorch, NLP, Python",-0.5687977787758267,0.5687977787758267
"Skills_Linux, Networking, Cybersecurity",-0.5556281990947602,0.5556281990947602
"Skills_Python, Deep Learning, Machine Learning",0.5523766859387244,0.5523766859387244
"Skills_Ethical Hacking, Linux, Networking",-0.5243356883462637,0.5243356883462637
"Skills_Java, React, SQL",0.514631413331763,0.514631413331763
"Skills_SQL, Deep Learning, Machine Learning, Python",-0.5112960426799592,0.5112960426799592
"Skills_Ethical Hacking, Cybersecurity, Networking, Linux",0.5047102061930718,0.5047102061930718
"Skills_Deep Learning, SQL, Machine Learning, Python",0.49419515096715905,0.49419515096715905
"Skills_SQL, Java",0.4932721020713634,0.4932721020713634
"Skills_Linux, Ethical Hacking",-0.48743686194767377,0.48743686194767377
"Skills_Networking, Linux, Ethical Hacking, Cybersecurity",-0.47821702182005715,0.47821702182005715
"Skills_C++, SQL",-0.4619219507419383,0.4619219507419383
"Skills_SQL, Python, Machine Learning, Deep Learning",0.43708457812519746,0.43708457812519746
"Skills_Machine Learning, Python, SQL",0.41588626974005544,0.41588626974005544
"Skills_SQL, Machine Learning",-0.4070635381384818,0.4070635381384818
"Skills_TensorFlow, Pytorch, Python, NLP",-0.40083201043857286,0.40083201043857286
"Skills_Pytorch, NLP",0.3982720005808665,0.3982720005808665
